Title,Original Language
Bidasari (2010),ms
กุหลาบป่า #930,th
Bumi Manusia #921,id
ข้าหลวง #654,th
The Lost Executioner #1082,km
Mat Jenin #874,ms
斜陽 #1237,ja
Cantik Itu Luka #591,id
Cantik Itu Luka #651,id
완득이 #679,ko
Supernova #218,id
Anak Mat Lela Gila #329,ms
Rumah Kaca #924,id
The Rosales Saga #615,fil
ด้วยรักและผูกพัน #1142,th
活着 #502,zh
ศรีบูรพา #489,th
Perburuan #1205,id
Menara #919,ms
Anak Semua Bangsa #182,id
羊をめぐる冒険 #585,ja
คำพิพากษา #663,th
Survival in the Killing Fields #412,km
Lucky Child #411,km
朝花夕拾 #611,zh
吾輩は猫である #968,ja
呐喊 #1032,zh
Bumi Manusia #1021,id
Gadis Jolobu #340,ms
Laskar Pelangi #294,id
흰 #1065,ko
The Rosales Saga #115,fil
Mga Kuwento ni Lola Basyang #891,fil
Mat Jenin,ms
細雪 #534,ja
Voices from S-21 #454,km
Atheis #628,id
ด้วยรักและผูกพัน #1022,th
Ranjau Sepanjang Jalan #988,ms
มัจจุราชเริงรำ #878,th
살인자의 기억법 - Part 7,ko
토지 #646,ko
한강 #1084,ko
Survival in the Killing Fields #312,km
1Q84 #1082,ja
Layar Terkembang #467,id
ฟ้าใหม่ #520,th
痴人の愛 #335,ja
Sejarah Melayu - Part 2,ms
Supernova #438,id
Belenggu #669,id
こころ #486,ja
Cinta di Dalam Gelas #577,id
Sa Mga Kuko ng Liwanag #193,fil
ฟ้าใหม่ #1040,th
ฟ้าใหม่ #380,th
秋 #799,zh
Merpati Putih Terbang Lagi #672,ms
海辺のカフカ #263,ja
Bumi Manusia #241,id
Mat Jenin #934,ms
Sang Pemimpi #575,id
Interlok - Part 7,ms
Padre Faura Witness the Execution of Rizal #1156,fil
斜陽 #877,ja
Ilustrado #408,fil
Ranjau Sepanjang Jalan #1028,ms
The Gate #406,km
Gadis Jolobu #180,ms
Negeri 5 Menara #1219,id
ABNKKBSNPLAko?! #212,fil
ข้าหลวง #874,th
Survival in the Killing Fields #1212,km
"Stay Alive, My Son #605",km
Jejak Langkah #123,id
Menara #779,ms
อิเหนา #188,th
Hang Jebat Menderhaka #1197,ms
金閣寺 #1152,ja
완득이 #379,ko
สุภาพบุรุษจุฑาเทพ #637,th
走れメロス #878,ja
